ZIP Code,Your comment
40272,"I am strongly opposed to the removal of any monument or statue.  Life was quite different in this country during the ""Civil War"" era.  The beginning of the  War and the heroes involved was not fought for slavery; that issue didn't come up until will into the battles.  Most of us had ancestors in the Civil War and that history should not disappear.  Many had great accomplishments and the people were proud of them.  If we do away with those heros, what happens to the heros of other wars?  We are sending the wrong message to past, present and our future military.  If anyone feels uncomfortable due to a monument/statue they have more serious issues that need to be dealt with.   The mere discussion of any monument just 'stirs the hate pot' in this city.  There is enough hate without building a separation between black and white?  I appreciate all monuments, but if some have to go they all should go; including Ali and MLK.  Perhaps, education is the key we all missing."
40205,Fleur de lis are offensive due to their use in branding by some slave owners.  Animal heads outside of Speed Art Musuem are disturbing and giant wish bone is implying what?
40208,"These are not pieces of art nor are they representations of history. They are works that glorify the acts of people who worked to tear this country apart. They let people know that being a part of groups that support bigotry, racism, and slavery are acceptable in our city and in this country. These displays show a pride in being a part of those things. If we want to heal and come together as a country we need to stop glorifying the past. We need to stop being proud of a history that enslaved Africans and dragged them here. We need to stop being proud of the genocide of Native Americans. We need to stop being proud of the systemic racism that is continuing today. We need to replace these displays that show how we, as a city and as a country, can move on together and build the community we want in Louisville. We tore down Nazi flags and symbols at the end of WWII and they were never replaced in Europe, we tore down the Berlin Wall at the end of the Cold War and it was never replaced. These displays were not even put up until long after the Civil War was over. They should be tore down and not replaced. There should be no glory for the traitors nor those who want to continue their work. "
40204,"I wish for you to know that I do not support celebrating hatred.  This includes statues that honor those that supported slavery such as the Castleman statue near Willow Park.  These icons of hatred should be removed from public spaces & replaced with with symbols of hope, and inclusivity for all.  Louisville is a community that is an amalgamation of a rainbow of races, cultures, religions & sexual identities.  The message we need to show the world is that we have space for everyone and we are looking towards a hopeful, peaceful and colorful future.  "
40217,"I strongly oppose any monument that glorifies the Confederacy, Confederate Soldiers, their acts, actions, victories, and defeats. While some may argue that they represent Louisville's tradition or heritage, I believe that they would be better placed in their appropriate historical context in museums, not valorized in public. They represent a continual reminder of a dark period in history, the repercussions of which echo into the present day. Louisville has far better, more righteous, more honorable citizens, men and women both, to represent its public image. I support the removal of these monuments at any public cost."
40165,"I reject the argument that moving a statue is erasing history. Presenting a tangible token is merely helpful in the teaching of history, it is not necessary. With the advent of advanced audio and visual technology, there are many ways to experience histories without hands on artifacts. Moving a statue would, on the contrary, add to the piece's history.

I believe that retaining the Castleman statue in its present location, surrounded by expensive homes and ringed by tended gardens, does not place the appropriate judgments on the historical events with which Castleman is associated, nor does it send the appropriate message to persons whose ancestors were egregiously harmed by events prior to emancipation, nor to those who have been personally harmed by the systemic oppression which has continued in many forms up until the present day. I advocate for the relocation of this and any other Confederate memorials/relics/tributes to a museum-type setting, in which items can be curated to ensure that the items can be studied in a manner that does not suggest that Louisville continues to uphold and treasure the ideology widely associated with Confederate symbols.

My best analogy is this: Would you be alright with displaying in your living room photographs of your spouse's first marriage? These photographs documented an important part of your spouse's personal history- s/he would not exist in the current form you love so well, had s/he not experienced that first marriage. But I would certainly wager that you would request for these photos occupy a box in the closet. Or the attic. Or even that they be destroyed. And should your spouse insist on keeping the photographs in the living room even after you, the affected party, requested alternate storage options, well... that would hardly bode well for harmonious marital conditions, would it? 

In summary, we encourage relocation and/or destruction of personal historical artifacts in cases of potential emotional discord. Why not embrace this opportunity to do this for our brothers and sisters in our community at large?"
40203,"PLEASE do the right thing with regard to public art by REMOVING that which commemorates racism, colonization, and oppression of those in marginalized communities. I realize this could be a difficult decision, but it can also be an easy one. There is not a shortage of monuments to the history of white men concurring spaces. That piece of our ugly past can never be erased. There is an overwhelming lack of recognition for work done by women, and people of color which did have great impact on many in our communities. 
Please make Louisville an example of how we can encourage others to embrace diversity by lifting up people and stories that are NOT what we usually see when we look around our US cities.

Thanks for this easy way to share my stance on this subject, and for taking swift and clear action here, as there is much more work to be done to help our city become more equitable and safer feeling for all of us."
40206,"Take down all Confederate monuments. Melt them down, recycle them, or sell them for scrap. They have no place in the public sphere. They serve to empower racists and bigots, allow them to feel that their beliefs are normal and acceptable, and to both reminisce and feel resolve about their hatred, fear, and false superiority.

Doing so doesn't ""erase"" or ""sanitize"" history, as our governor and president would make one think. Much as Germany doesn't herald the days of their vicious past, and as the people of Iraq couldn't wait to topple both their regime AND the symbols and idols of the same, we should not allow these vestiges of Jim Crow to remain standing.

Mr Mayor, tear down these statues!"
40217,"Melt them down, make an Ali statue, make a memorial to lynching victims, commemorate Louisville being the gateway to the north. Just get rid of them."
40217,"Please remove ALL confederate statues, including the Castleman Monument in the Cherokee Triangle."
40204,"Take the General down.

Put Fredrick Law Olmsted on the horse or of him standing alone.

He could be pointing to the Park or have plans in his hands."
40205,"The John B. Castleman Statue is listed in the National Register as a Civil War monument recognizing a Confederate officer, making it a Confederate monument, thus attaching it firmly to a legacy of bigotry, racism and slavery. It was built in the same era that the city's former Confederate monument was dedicated, as the city had no hesitation honoring the Confederacy at that time, and the Confederacy is mentioned on the plaque. The National Register listing makes it clear that the monument's significance is - above anything else - its connection to the Confederacy.

Mr. Castleman was unrepentant about his love for his dear Confederacy, touting his CSA service on the cover of his autobiography, dedicating the book to fellow CSA officers ""and to the boys who with them served and feared nothing,"" printing an introduction by a fellow CSA officer who wistfully reflects on what might have been had the CSA prevailed, and romanticizing slavery (example from Chapter XIII, describing Kentucky slaves: ""These slaves were part of every family. Their work was not hard, and their hours of leisure were many... almost always, contentment and happiness prevailed."") This book, published at the end of his life, is not the work of someone who regretted his treason or sought to disassociate himself from it. Rather, it is the work of a proud racist, reflecting proudly on his life and heritage.

There is no justification for keeping this statue in a public square. If it is a Confederate monument - and it clearly is - there's precedent for removing it, and a moral obligation to do so."
40272," No art , symbol , statute etc  can  honor bigotry, racism or slavery by their mere presence in our city.
 A person own actions is what honor such display of ignorance like bigotry, racism, or slavery. 
The art itself its our amazing History.  why wipe out our History (art ) and keep bigotry, racism, slavery in our hearts? 
We cant advance in unity without remembering where we were in the past. What are we leaving our children and grandchildren to actually see and touch about our true history...an App? 
Leave the art alone! #HispanicsinLouisville "
40065,"Dont you dare sanitize the city.  Liberal schools are doing enough harm by not teaching the truth about history! Only communist countries hide their past from their people!  Educate people about the wrongs of our past!  What an insult to the 600,000 good people who died in the civil war!"
40206,"I have never viewed the Castleman Horse statue as a homage to the Confederacy as he also fought for the US army also and was instrumental in land development. Someone suggested re-wording the plaque instead of tearing it down. (which I agree with) The statue has history of being a landmark in Cherokee Triangle and has artistic value and is steeped in folk-lore. 

I think all statues like this should be reviewed and evaluated at this time as Louisville should not be representing offensive groups who rally these monuments out of racism under the guise of saving historical art. Some 'art' needs to be torn down or replaced. While Castleman may or may not be one of them, there are other monuments in KY that definitely should go."
40204,"I am exceedingly liberal in my political views.  However, I am realistic about history and learning from it.  I would not be in favor of any public art being removed unless it is blatantly offensive.  I do not consider the Castleman statue to be offensive at all.  He may have fought in the Civil War for the wrong side, but there was much more to him than that.  How can someone say that the statue only represents the Confederacy?  Please don't give in to irrational arguments from either side.  Just keep history AND offensive displays in mind when making your decision!"
,Moving an offensive statue doesn't make it less offensive. It just tells those offended you aren't w welcome in the area you move it to. Sad if you use their tax dollars to create that area. These monuments were put in place to remind non white persons and non  Christian folks who's still in charge. You have the opportunity and the moment in history to say for ever that is no longer the case. Or you can just another politician doing half measures . You were a businessman bit know your a leader this is a rare opportunity to lead and stand above the others. Risk Reward.
40217,"I feel that any statue or piece of art representing the Confederacy should be promptly taken down. Such work symbolizes bigotry, racism, and a time when our country was deeply divided. All these figures were fighting for the right to own human beings as property which is beyond vile. They were fighting to be openly bigoted and commit violent acts without punishment. 

I feel that public art should promote unity, celebrate the community, and benefit the neighbors they reside. They should not be a reminder of horrible acts that are triggering to anyone. We need to stop glorifying war and violence."
40205,"Once you identify them, take them down.  But you need to budget for what will go up in their place.  You can't just leave a hole in the  landscape of people's everyday lives.  We don't want people constantly mourning the loss of these symbols of hate.

Put something inspiring up in their place.  Use this as an opportunity to discuss what Louisville is really about and where we are going as a people."
40214,"There's absolutely no question that both the Castelman statue on Cherokee Road and the Prentice statue behind the Louisville Free Public Library Downtown Branch need to be removed. Louisville Metro government has an implicit commitment to serve all of Louisville's citizens, and displays from the past that inherently celebrate, through their very existence, the exploits of white supremacists and bigots have no place in our society."
40205,"Please remove any statue that is honoring bigotry, racism, or slavery.
In particulary, the Castleman statue is in my district, and I would like it removed. "
40204,"Any monument that honors bigotry, racism or slavery (and this includes monuments to the Confederacy or Confederate soldiers) should not be allowed to remain on display as a public piece of art. The minimum acceptable response is to relocate them to an exhibit that clearly contextualizes them as part of racist tradition that includes slavery, segregation, and Jim Crow laws.

Rather than keeping monuments that glorify those that were on the losing side- militarily and morally- we should erect new monuments to the victims and heroes of the struggle for equal rights for all."
40205,"Please remove the statue - - it's a reminder of segregation, the confederacy, and treason. It does not represent our community."
40204,"The Castleman statue has no place in our 21st century community.  Removing the statue is not a sign that we are trying to ignore or erase history as some have said; rather it shows that Castleman's legacy as a confederate solider is not something to be memorialized and celebrated.  A monument to any person is a way to idealize and celebrate their life and legacy.  The time has come to re-evaluate the statue and it's meaning, and to take appropriate action by removing it from Cherokee Circle."
40241,"Let's move forward, not look at the past.  Remove/replace ""art"" with pieces that are not a reminder to others of history we do not want to repeat."
40217, Support a Sanctuary City ordinance in Louisville because you cannot relocate statues and remove art void of policy change/creation.
40205,"Mayor Fisher You are embarrassing your self.This is a confederate statue. There is no further discussion needed. Remove it!

Be a true compassionate city and make Louisville a sanctuary city!"
40228,"Are you also going to remove photos from our history books.  Most art tells a story.  There is art I find offensive, but I don't ask for it to be removed or ask that we deny our history.  If you start this process, it will bleed over into other aspects of our lives "
40213,"Leave the statues and monuments alone!  I do not agree with the actions of the white supremacists but I also do not agree with taking down the statues.  If we are to learn from history, we need reminders to show us from where we came.  Next month, I am traveling to Greece for the first time.  Greece would not be the same country if the monuments and statues were gone.  Every country has a history but not every country is willing to remove reminders of history because people are offended.  America has become too soft.  We need to grow a backbone and we need to understand that history cannot be erased because the statues are gone.  Some people may not like Abe Lincoln; crazy, I know.  Are we looking to remove his monument from the waterfront area?  Seriously, when does it end?"
40065,"If we are going to start banning all those things we consider offensive, what would we have left?  I personally view monuments and the like to be imagery of art.  I do not not necessarily have to like or agree with all of them.  If we are going down this road where we remove everything offensive to African-Americans, how is it we have not demolished every last single antebellum home which resides in the South?  After all, what could be more of a sign of oppression than the plantations dotted and advertised throughout the South and even listed on our GPS when we travel?  

If we want to talk about offensive, how is it we still see crosses and monuments throughout society depicting every form of religion?   A quarter of our nation is now secular and these symbolic images are extremely oppressive and offensive to those who do not believe the same things.  How is this even remotely acceptable to our leaders seeking to appease those who do not wish to be offended?  Seriously?  I have no problem whatsoever with the removal of religious imagery like the Ten Commandments from our government buildings, but how is it even remotely acceptable to leave all imagery of Crucifixes and Stars of Davids inundated throughout our society?  How is it acceptable for churches to continue to ring their church bells playing their favorite hymns?

How is it we have a center in Louisville to applaud a person whose only claim to fame is that he was a boxer for a living and he used his influence to evade the draft?  What sport is more archaic than one where fighting is its theme and its members constantly receive brain injuries?  What is more barbaric than this?  Yes, there are many of us offended by cockfighting, dog-fighting and bullfighting.  I notice the latter is still applauded in some circles.  Or is it just not considered offensive when people or celebrities possess money?  I find it offensive we live in a city where boxing is still even promoted as a legitimate sport.

How is it not considered offensive to many when we see streets or buildings named after Martin Luther King?  Yes, the words he spoke were extraordinarily significant but was he not found shot outside a motel where he enjoyed time with someone other than his wife?  What is more offensive than driving through every urban area in our country and finding neighborhoods dotted with graffiti, trash and crime?  Why should anyone be forced to drive through these dangerous and anti-aesthetic areas of town?   If the Confederate flag is considered offensive to blacks, how is the BLM, Antifa, and other Leftist organization icons not offensive to their detractors when we see them thrown at us on social media or the news?  

PETA has screamed and holler for years about those things which offend them.  How is it our leaders have not accommodated their needs and wishes?  How is one group's claim of oppression greater than another's?

To be completely honest, I have no problems removing all things which might be considered offensive to particular groups in this country.  But if we are going to do it for one group, we better start removing those things everybody else also finds offensive.  "
40118,"To the Commission,

As a citizen of Jefferson County and city of Louisville I do not feel that the Confederate monuments are considered Art that is defined by bigotry, racism and or slavery.  We do not worship slavery in this country any longer.  The men and women, white and black that fought this war are to be remembered and they should be looked upon as a great lesson for all Americans. They are History. History is neither all good and all bad.  I would rather see racial differences approached with more help from City, State and Federal governments on finding out the root causes for bigotry, racism that continue in this country.  Education and freedoms taught to citizens should put to rest resentments and victim roles.  We as a county need to define ourselves with building up our citizens with mental health help, health insurance needs and using the resources that are here to help people live with healthy minds.  Political Correctness needs to go in the garbage and city, state and federal officials need to start doing what is right and not continue to stand for things that are to far left and to far right.  Double standards need to go away and all people treated fairly. The violence that has erupted over Slavery or thoughts of Slavery is ridiculous at this time in our country.  People of the United States are not enslaved. Why are they so mad?  American's have lost gratitude for what we do have and that is the right to be free and to be kind to one another. 

Thank You,
Angie Spiva"
40204,"If the signage at the Cherokee Triangle monument was removed and replaced with signage that simply states: ""1913: Horse with Rider"", would the controversy cease?  I can't imagine anyone passing that statue and thinking anything ugly; only what a lovely art piece in this beautiful neighborhood.  My 3 year old grandson takes delight every time we pass The Horse Statue. He has no vile thoughts brought to mind because of the statue.  I would like to see the horse statue remain, and if the signage needs to change, so be it.  Removing the statue does not change history, and the art itself does not endorse a political ideology. "
40205,"The confederate monuments around town have no place standing in 2017. Please have them removed/destroyed, as relocating them would be prioritizing white nationalism over the ideas of freedom and justice. "
40205,I would like to see the statue moved to a museum. That is where this piece of history should be. I would suggest replacing him with Frederick Olmstead. I encourage this to happen in a very quick manner so our community can get past this and so our community can set precedent and be an example for other districts in Kentucky.
40211,"I think many of us would agree that any piece of art that honors bigotry, racism, or slavery should not be displayed in public places nor maintained with public funds.  But, when deciding if a piece of art constitute honoring racism and bigotry, we should use extreme caution. We should consider context and the artist’s intent before making the claim that an piece of art is racist, e.g., a painting of a swastika superimposed over an American flag could be considered racist if created by a neo Nazi, but the same painting could be a form of social commentary if created by an avowed anti-racist.  
 

 

"
40205,"Louisville is a growing and diverse city which aims to be compassionate, and a Confederate solider who used guerrilla tactics who also contributed to the segregation of our parks is not the type of person we should honor with a statue. Many people do not know the history behind this statue, and surely would not want it to represent our city or neighborhood upon learning the truth.

We urge you to please remove this statue promptly. Thank you for your consideration."
40205,"The Castleman statue may represent many things. One of the things it represents is a Confederate soldier who when tasked with leading the city's parks chose to institute segregation. Having Tom Owen paraded out on TV as if he is some monument expert -- when he is not, he is an archivist -- to ""interpret"" the monument by asking some insulting questions about what the person is wearing and what does the sign say does not help this situation. Castleman must come down! Castleman is a racist. He did nothing to deserve this honor -- other than being a rich, white, Confederate spy who chose to segregate Louisville's parks. He represents the worst of Louisville -- not its best. I'm further insulted the neighborhood leaders of the Cherokee Triangle CONTINUE to make excuses for this racist. Several of us raised concerns about this statue with leaders of the Cherokee Triangle many years ago and they ignored us. Instead, they doubled-down on this racist man and added Castleman's likeness to their logo, websites, art fair promotion, etc. The statue must be removed. I will boycott the Cherokee Triangle Art Fair until this statue is removed. The Louisville Commission on Public Art should hold a contest to solicit entries for a new statue for this pedestal. Stick Castleman in the basement of the Speed Art Museum or Tom Owen's backyard. "
40229,"Historic art, in the form of statues of soldiers, should be left completely alone. I do not abide with the fascist tendency of certain groups when it comes to removing historic statues. And it would be nice to see our Mayor and our Police Chief take the vandalism of the statue in Cherokee Triangle of John Breckinridge Castleman seriously enough to actually investigate the crime and publicly denounce such acts of disrespect. But I don't believe either the Mayor or Police Chief have the intestinal fortitude or moral compass to stand against the fascists."
40206,It's about time 
4219,"Stop taken down the  statues, that is our history! "
40241,"Honoring bigotry, racism, or slavery?  No.  These statutes and monuments do none of those things.  It would be honoring ignorance to take them down.  Over 100 years have gone by and nobody cared the first time about them.  However, suddenly, it is popular to display one's ignorance of history by erasing what you don't get or understand in the first place."
40204,Castleman was a traitor and racist.  His contribution to the parks is much over blown and in fact he wanted the parks to be segregated.  Take it Down.  Send on down the road with the Davis statue ... Or take him down and keep the horse.  He is probably tired of a racist on his back.  
40214,"Support sanctuary city. Build a city reparation fund for housing solutions. Change street names, park names, anything having to do with the lost cause. Designate a place where those relics can live and tell the full story of the oppression of the confederacy. "
42714,I don't think the art should be removed from Louisville..I visit these places with friends and family ..if they were not there I don't think I would visit Louisville as often as I do! It's really sad that this is happening.. it is our history good bad or ugly it's still our history… Black or white it's still our history… And it's a shame  that it has come to this situation to where we have to try to remove and erase the history of our nation ..  removing these objects will not erase our past… We should build from our history and learn from our history.
40216,They belong in a museum.
40204,"This is for public art review, but the castleman statue can hardly be considered that. It is an erection to a self serving racist who's accomplishments are completely embellished by himself and his cronies. Any man that demands a statue of himself probably doesn't deserve it. "
40205,Move the statues to a museum and present them in historical context. Use them as tools to educate about a dark time in our history when traitors attacked the union. They should not be publically displayed because they have come to represent not history but a battle cry for white. 
40205,Put it to a vote and let the people decide... quit inciting violent demonstrations and let the community vote on it.  
40222,"We must balance the kind of society we would like to be with the rights provided with the First Amendment. There is no need for art pieces in public spaces that honor the enemies of America or her values, it only serves to exhalt the bigoted values for which they once stood. It is time to move beyond our shameful history. Instead, they should be placed in museums alongside an explanation of why their statue was placed in Louisville, what it represented, and why it was ultimately removed. The President of the United States asked if we should remove statues of Thomas Jefferson or George Washington since they owned slaves. I would urge the committee to consider their history as a whole: Did they actively promote slave ownership? Did they make their last stand on the right to own another person? Did they foment insurrection against their own nation for the right to subjugate black people? I would say there is a difference between Thomas Jefferson and George Washington and people like Jefferson Davis or Robert E. Lee. And indeed, perhaps we should consider adding to any statute of Thomas Jefferson, that while he wrote that all men are created equal, that he himself owned slaves. "
40242,"I don't see why these art pieces would need to be removed.   They serve as reminders of dark times and should remain as a way to say never again.  If we forget history, we will be doomed to repeat it."
40222,"Leave the art alone. Erasing the history of where we came from will do nothing to make race relations better, and in fact is sure to inflame the situation. 

These markers are the scars of the fights we have been through for freedom, and despite current pop culture, the Civil War was NOT fought over slavery, but rather due to a dictatorial and overreaching federal government. Slavery was already on its way out and socially unacceptable.

Leave the art, monuments, and other treasures of our past alone."
40213,"Our country has become entrenched in outrage & overreaction. We all need to take a deep breath & relax, rather than rushing to judgment & destroying local artwork that may hold historical significance & isn't just a symbol of racism & oppression. Our country is rooted in deep history, some of which we are now ashamed of, but ridding ourselves of suspect artwork will not change any previous actions. If artwork is deemed inappropriate or lewd, I understand it's removal, but there are several things that exist today in public areas that we ""just don't like"". But that doesn't mean it should be censored. "
40219,"Maybe the Frazier museum should be shut down and all the art removed so it doesn't offend anyone. Removing history isn't the answer. Then how do you explain to black children about slavery is you're wiping away all the history. As if it never happened. Is that what you're wanting? That means no more civil war and slavery taught in schools, no more brainwashing blacks to think they aren't equal. That ruins the Democrat agenda for votes. Don't become ISIS!!!!"
40243,"LEAVE THEM ALONE! What kind of downward spiral are you trying to crate? You want to take down statues and historical markers, what's next? You will then have to look into renaming buildings, streets, maybe even the city if you want to really dig into things. Your job as Mayor isn't to become a judge and jury of our city history. You should know you will never please everyone, however it's clear which direction you are easily influenced by. Seeing you put more effort and concern into the cities outrageous murder rate would be a better use of your time. "
40213,Leave the monuments!  The Castleman Statue shows a man in suit who created our parks and The American Saddlebread Association.  It has nothing to do with slavery nor was it mad eto depict slavery.  
40205,"The only acceptable policy for Louisville to take on Confederate monuments is zero tolerance & immediate removal. There is an argument to be made for remembering the past & keeping such monuments as reminders, to these concerns I say melt the statues down and cast the metal into new, more appropriate forms. We should be celebrating those who persevere(d) & suffer(ed) in the face of racism, not honoring & memorializing the perpetrators of horrible acts & treason.

There is NO place in contemporary Louisville for such monuments. Remove them NOW."
40229,"I would very much like for the Castleman statue to be brought down. In the current times, honoring someone who fought so hard to retain a system of society that promoted oppression of others based on race and also their ownership, has no place in our world. It belongs somewhere in a museum, preferably retaining it's vandalism marks as a sign of the controversy and the changing shape of attitudes regarding it. These acts are as much a part of the history of the monument as what it stands for. I would very much like to see it torn down in complete honesty, smashed before a cheering crowd, than see it stay up to become a rallying cry for extremists or an everyday reminder that the oppression of people of color is seemingly something still deserving of being honored."
40205,"I think that the statutes that were made to honor confederate soldiers or whatever should stay. The reason why I say they should stay is because by getting rid of the statue you are erasing history that needs to be taught by getting rid of the statues you are making sure that what they did before is going to happen again. Another reason why the statue should stay is because it’s going to cost a ton of money, money that should be better spent then getting rid of a statue that has no meaning
anymore. Keep it so we don’t repeat the past."
40205,"There is a difference between public art as education about history and public art that is glorifying racism, a system of slavery, oppression, etc. 
It's the difference between having a statue memorializing Adolph Hitler in a German city and having a place to learn about the horrors of WWII at the Holocaust Museum. 

We are creating a hostile atmosphere for the diverse people of our community when public artwork exists in a way that normalizes and/or glorifies those who are seen as heroes or symbols of slavery, oppression, violence, etc. 

What do we want to intentionally create for our community? For me, it's art that inspires, welcomes, celebrates the diversity of the community, the strengths of the community, and the contributions of the community members. 



"
40241,Take down all Confederate statues. They are NOT heroes.  They were traitors to the United States of America. They killed Americans.  It is painfully clear that the people wanting these things to remain are hate filled people after what happened in Charlottesville. As Americans we MUST remove these symbols of hate. ALL of them. 
40258,These monuments are wrong.  Period. Remove them. 
40299,"Nazis and white supremacists have no place here in the 21st century. The failed rebellion that occurred in the 19th century should not be immortalized with monuments in public places, they belong in museums and in history books."
40222,"Please remove any public art that may be offensive or attract the kind of violence that has recently occurred elsewhere. I can only imagine the types of feelings they invoke in those that were most affected. I understand that the common argument is that removing the statues won't change history. While that is correct, by having them remain, it is not stopping us from repeating our past either. They simple can do no good by remaining. Please consider removing them quietly and with no advance warning so as to minimize any formal gathering of protest groups. I don't want to see Louisville on the news like Charlottesville. Let's set an example for other cities facing the same decision and create a roadmap for how to handle this peacefully."
40217,Art often offends and stirs conversation and contemplation.  Leave the statues in place.
40206,Remove these monuments that honor hate. We can still teach and learn from history without them in our public spaces. They belong in a civil rights museum or other consolidated area where educational material about our history can be shared. 
